Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRAC_RA
020021907,319.0,5.0,324.0,2_19_7
020021908,356.0,21.0,377.0,2_19_8
020022001,456.0,1.0,457.0,2_20_1
020022002,411.0,38.0,449.0,2_20_2
020022003,352.0,20.0,372.0,2_20_3
020022004,372.0,14.0,386.0,2_20_4
020022005,241.0,10.0,251.0,2_20_5
020022006,320.0,36.0,356.0,2_20_6
020022007,242.0,5.0,247.0,2_20_7
020022008,301.0,0.0,301.0,2_20_8
020022101,439.0,23.0,462.0,2_21_1
020022102,439.0,3.0,442.0,2_21_2
020022103,367.0,2.0,369.0,2_21_3
020022104,525.0,5.0,530.0,2_21_4
020022105,506.0,2.0,508.0,2_21_5
020022106,464.0,17.0,481.0,2_21_6
020022201,364.0,4.0,368.0,2_22_1
020022202,280.0,1.0,281.0,2_22_2
020022203,205.0,0.0,205.0,2_22_3
020022204,481.0,2.0,483.0,2_22_4
020022205,527.0,1.0,528.0,2_22_5
020022206,556.0,1.0,557.0,2_22_6
020022301,434.0,1.0,435.0,2_23_1
020022302,512.0,0.0,512.0,2_23_2
020022303,437.0,4.0,441.0,2_23_3
020022304,362.0,19.0,381.0,2_23_4
020022305,294.0,1.0,295.0,2_23_5
020022306,203.0,0.0,203.0,2_23_6
020022307,236.0,1.0,237.0,2_23_7
020022308,183.0,4.0,187.0,2_23_8
020022309,462.0,1.0,463.0,2_23_9
020022401,449.0,1.0,450.0,2_24_1
020022402,376.0,1.0,377.0,2_24_2
020022403,334.0,1.0,335.0,2_24_3
020022404,451.0,13.0,464.0,2_24_4
020022405,505.0,1.0,506.0,2_24_5
020022406,465.0,3.0,468.0,2_24_6
020022501,310.0,2.0,312.0,2_25_1
020022502,348.0,1.0,349.0,2_25_2
020022503,165.0,12.0,177.0,2_25_3
020022504,422.0,5.0,427.0,2_25_4
020022505,465.0,4.0,469.0,2_25_5
020022506,245.0,110.0,355.0,2_25_6
020022507,379.0,7.0,386.0,2_25_7
020022508,511.0,12.0,523.0,2_25_8
020022509,410.0,1.0,411.0,2_25_9
020022510,298.0,1.0,299.0,2_25_10
020022511,458.0,43.0,501.0,2_25_11
020030101,444.0,44.0,488.0,3_1_1
020030102,404.0,15.0,419.0,3_1_2
020030103,418.0,49.0,467.0,3_1_3
020030104,239.0,9.0,248.0,3_1_4
020030105,341.0,33.0,374.0,3_1_5
