Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total,CO_FRAC_RA
020012805,96.0,50.0,113.0,33.0,55.0,7.0,354.0,1_28_5
020012806,44.0,23.0,95.0,18.0,81.0,20.0,281.0,1_28_6
020012807,99.0,44.0,106.0,17.0,38.0,10.0,314.0,1_28_7
020012808,27.0,9.0,39.0,10.0,20.0,5.0,110.0,1_28_8
020012809,59.0,27.0,99.0,14.0,47.0,16.0,262.0,1_28_9
020012810,58.0,46.0,136.0,16.0,77.0,20.0,353.0,1_28_10
020012811,27.0,13.0,95.0,4.0,91.0,19.0,249.0,1_28_11
020012812,36.0,22.0,92.0,16.0,62.0,7.0,235.0,1_28_12
020012813,56.0,31.0,101.0,9.0,54.0,10.0,261.0,1_28_13
020012901,71.0,44.0,141.0,28.0,92.0,44.0,420.0,1_29_1
020012902,20.0,18.0,107.0,15.0,85.0,21.0,266.0,1_29_2
020012903,45.0,25.0,83.0,15.0,72.0,36.0,276.0,1_29_3
020012904,54.0,47.0,74.0,19.0,70.0,8.0,272.0,1_29_4
020012905,58.0,28.0,124.0,12.0,66.0,18.0,306.0,1_29_5
020012906,76.0,63.0,131.0,20.0,26.0,7.0,323.0,1_29_6
020012907,111.0,39.0,103.0,21.0,48.0,6.0,328.0,1_29_7
020012908,68.0,30.0,84.0,19.0,44.0,15.0,260.0,1_29_8
020012909,101.0,34.0,127.0,22.0,67.0,25.0,376.0,1_29_9
020020101,5.0,3.0,6.0,1.0,4.0,2.0,21.0,2_1_1
020020102,9.0,10.0,48.0,18.0,32.0,16.0,133.0,2_1_2
020020201,103.0,38.0,79.0,8.0,20.0,4.0,252.0,2_2_1
020020202,189.0,88.0,66.0,10.0,8.0,1.0,362.0,2_2_2
020020203,160.0,42.0,18.0,6.0,1.0,2.0,229.0,2_2_3
020020204,126.0,37.0,31.0,5.0,6.0,0.0,205.0,2_2_4
020020205,134.0,51.0,58.0,8.0,8.0,0.0,259.0,2_2_5
020020206,99.0,43.0,35.0,5.0,15.0,0.0,197.0,2_2_6
020020207,53.0,30.0,41.0,4.0,13.0,0.0,141.0,2_2_7
020020208,135.0,57.0,65.0,10.0,12.0,3.0,282.0,2_2_8
020020301,183.0,91.0,93.0,9.0,21.0,2.0,399.0,2_3_1
020020302,154.0,47.0,167.0,7.0,34.0,2.0,411.0,2_3_2
020020303,54.0,32.0,11.0,2.0,1.0,0.0,100.0,2_3_3
020020304,87.0,40.0,55.0,3.0,2.0,1.0,188.0,2_3_4
020020305,118.0,69.0,82.0,10.0,13.0,1.0,293.0,2_3_5
020020306,129.0,44.0,75.0,8.0,17.0,1.0,274.0,2_3_6
020020307,173.0,93.0,68.0,7.0,10.0,2.0,353.0,2_3_7
020020308,118.0,64.0,40.0,6.0,5.0,1.0,234.0,2_3_8
020020401,156.0,58.0,75.0,12.0,11.0,1.0,313.0,2_4_1
020020402,47.0,13.0,34.0,4.0,8.0,3.0,109.0,2_4_2
