Código,A red pública (cloaca),A cámara séptica y pozo ciego,Sólo a pozo ciego,"A hoyo, excavación en la tierra, etc.",Total,CO_FRAC_RA
020021002,366.0,0.0,0.0,0.0,366.0,2_10_2
020021003,209.0,0.0,0.0,0.0,209.0,2_10_3
020021004,344.0,0.0,0.0,0.0,344.0,2_10_4
020021005,425.0,1.0,0.0,0.0,426.0,2_10_5
020021006,321.0,0.0,0.0,0.0,321.0,2_10_6
020021007,482.0,1.0,0.0,0.0,483.0,2_10_7
020021008,443.0,0.0,0.0,0.0,443.0,2_10_8
020021009,299.0,0.0,0.0,0.0,299.0,2_10_9
020021101,620.0,1.0,0.0,0.0,621.0,2_11_1
020021102,241.0,0.0,0.0,0.0,241.0,2_11_2
020021103,670.0,1.0,1.0,0.0,672.0,2_11_3
020021104,645.0,0.0,0.0,0.0,645.0,2_11_4
020021105,168.0,1.0,0.0,0.0,169.0,2_11_5
020021106,305.0,0.0,0.0,0.0,305.0,2_11_6
020021201,435.0,0.0,0.0,0.0,435.0,2_12_1
020021202,395.0,7.0,0.0,0.0,402.0,2_12_2
020021203,455.0,1.0,0.0,0.0,456.0,2_12_3
020021204,703.0,0.0,0.0,0.0,703.0,2_12_4
020021205,615.0,0.0,0.0,0.0,615.0,2_12_5
020021206,498.0,0.0,0.0,0.0,498.0,2_12_6
020021301,593.0,2.0,0.0,0.0,595.0,2_13_1
020021302,415.0,2.0,0.0,0.0,417.0,2_13_2
020021303,516.0,0.0,0.0,0.0,516.0,2_13_3
020021304,555.0,0.0,0.0,0.0,555.0,2_13_4
020021305,647.0,0.0,0.0,0.0,647.0,2_13_5
020021306,380.0,0.0,0.0,0.0,380.0,2_13_6
020021307,629.0,0.0,0.0,0.0,629.0,2_13_7
020021401,248.0,0.0,0.0,0.0,248.0,2_14_1
020021402,305.0,0.0,0.0,1.0,306.0,2_14_2
020021403,174.0,1.0,0.0,0.0,175.0,2_14_3
020021404,369.0,0.0,0.0,0.0,369.0,2_14_4
020021405,497.0,1.0,0.0,0.0,498.0,2_14_5
020021406,529.0,0.0,0.0,0.0,529.0,2_14_6
020021407,331.0,0.0,1.0,0.0,332.0,2_14_7
020021408,378.0,2.0,0.0,0.0,380.0,2_14_8
020021409,604.0,0.0,0.0,0.0,604.0,2_14_9
020021410,537.0,0.0,0.0,0.0,537.0,2_14_10
020021501,266.0,0.0,0.0,0.0,266.0,2_15_1
020021502,388.0,0.0,0.0,0.0,388.0,2_15_2
020021503,630.0,0.0,0.0,0.0,630.0,2_15_3
020021504,310.0,0.0,0.0,0.0,310.0,2_15_4
020021505,267.0,0.0,0.0,0.0,267.0,2_15_5
020021506,286.0,0.0,0.0,0.0,286.0,2_15_6
020021507,367.0,0.0,0.0,0.0,367.0,2_15_7
020021508,338.0,0.0,0.0,0.0,338.0,2_15_8
020021601,321.0,0.0,0.0,0.0,321.0,2_16_1
020021602,306.0,0.0,0.0,0.0,306.0,2_16_2
020021603,304.0,1.0,0.0,0.0,305.0,2_16_3
