,Código,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 y más,Total
138,020011201,9.0,11.0,16.0,10.0,26.0,42.0,42.0,25.0,23.0,27.0,29.0,18.0,18.0,19.0,11.0,6.0,4.0,2.0,2.0,1.0,341.0
139,020011202,3.0,3.0,8.0,17.0,27.0,36.0,23.0,9.0,26.0,8.0,28.0,4.0,13.0,8.0,6.0,8.0,2.0,0.0,0.0,0.0,229.0
140,020011203,10.0,11.0,13.0,23.0,75.0,106.0,76.0,72.0,37.0,51.0,59.0,43.0,48.0,39.0,18.0,20.0,13.0,7.0,1.0,1.0,723.0
141,020011204,5.0,7.0,8.0,27.0,59.0,60.0,25.0,29.0,21.0,18.0,25.0,35.0,17.0,16.0,10.0,11.0,11.0,7.0,2.0,0.0,393.0
142,020011205,21.0,32.0,28.0,31.0,69.0,50.0,39.0,32.0,48.0,45.0,38.0,40.0,35.0,23.0,23.0,15.0,16.0,12.0,2.0,1.0,600.0
143,020011206,21.0,20.0,17.0,26.0,42.0,56.0,33.0,33.0,33.0,21.0,26.0,17.0,40.0,26.0,22.0,15.0,16.0,4.0,3.0,1.0,472.0
144,020011207,32.0,29.0,31.0,31.0,109.0,112.0,80.0,53.0,53.0,56.0,48.0,38.0,25.0,24.0,26.0,19.0,12.0,1.0,7.0,0.0,786.0
145,020011208,5.0,2.0,10.0,6.0,50.0,59.0,38.0,18.0,19.0,23.0,21.0,14.0,18.0,13.0,11.0,10.0,7.0,3.0,2.0,0.0,329.0
146,020011209,49.0,32.0,45.0,60.0,87.0,126.0,152.0,99.0,105.0,111.0,125.0,106.0,85.0,49.0,39.0,39.0,27.0,18.0,2.0,0.0,1356.0
147,020011210,5.0,3.0,12.0,9.0,39.0,45.0,50.0,19.0,23.0,20.0,14.0,12.0,14.0,20.0,3.0,3.0,3.0,0.0,2.0,0.0,296.0
148,020011211,21.0,11.0,12.0,12.0,39.0,68.0,63.0,62.0,54.0,33.0,47.0,25.0,18.0,24.0,14.0,10.0,6.0,7.0,1.0,1.0,528.0
